Model,Cluster,Multistage,Simple Random,Stratified,Systematic
GradientBoosting,0.9934640522875817,0.9895833333333334,0.961038961038961,0.9934640522875817,0.6875
KNeighbors,0.8431372549019608,0.8177083333333334,0.7662337662337663,0.8431372549019608,0.375
LogisticRegression,0.9281045751633987,0.9010416666666666,0.8831168831168831,0.9117647058823529,0.875
RandomForest,1.0,0.9895833333333334,0.974025974025974,1.0,0.8125
SVM,0.7287581699346405,0.6614583333333334,0.6883116883116883,0.6862745098039216,0.6875
